domain,dimension,date,indicator,value
social,equality,2010,genderGapIndex,33.5
social,equality,2011,genderGapIndex,32.900000000000006
social,equality,2012,genderGapIndex,32.3
social,equality,2013,genderGapIndex,32.3
social,equality,2014,genderGapIndex,31.799999999999997
social,equality,2015,genderGapIndex,31.700000000000003
social,equality,2016,genderGapIndex,32
social,equality,2017,genderGapIndex,32
social,equality,2018,genderGapIndex,31.400000000000006
social,equality,2019,genderGapIndex,31.599999999999994
social,equality,2020,genderGapIndex,31.900000000000006
social,equality,2021,genderGapIndex,31.700000000000003
social,equality,2000,racialInequality,NA
social,equality,2001,racialInequality,NA
social,equality,2002,racialInequality,NA
social,equality,2003,racialInequality,NA
social,equality,2004,racialInequality,NA
social,equality,2005,racialInequality,NA
social,equality,2006,racialInequality,NA
social,equality,2007,racialInequality,NA
social,equality,2008,racialInequality,NA
social,equality,2009,racialInequality,NA
social,equality,2010,racialInequality,NA
social,equality,2011,racialInequality,NA
social,equality,2012,racialInequality,NA
social,equality,2013,racialInequality,NA
social,equality,2014,racialInequality,NA
social,equality,2015,racialInequality,NA
social,equality,2016,racialInequality,NA
social,equality,2017,racialInequality,NA
social,equality,2018,racialInequality,NA
social,equality,2019,racialInequality,NA
social,equality,2020,racialInequality,NA
social,equality,2021,racialInequality,NA
social,social cohesion,2000,PalmaOver2_share,70.8
social,social cohesion,2001,PalmaOver2_share,71.3
social,social cohesion,2002,PalmaOver2_share,69.1
social,social cohesion,2003,PalmaOver2_share,68.8
social,social cohesion,2004,PalmaOver2_share,67
social,social cohesion,2005,PalmaOver2_share,67.6
social,social cohesion,2006,PalmaOver2_share,67.3
social,social cohesion,2007,PalmaOver2_share,70.9
social,social cohesion,2008,PalmaOver2_share,67
social,social cohesion,2009,PalmaOver2_share,67
social,social cohesion,2010,PalmaOver2_share,67.2
social,social cohesion,2011,PalmaOver2_share,65.9
social,social cohesion,2012,PalmaOver2_share,65.8
social,social cohesion,2013,PalmaOver2_share,69.2
social,social cohesion,2014,PalmaOver2_share,64.2
social,social cohesion,2015,PalmaOver2_share,68.6
social,social cohesion,2016,PalmaOver2_share,65.2
social,social cohesion,2017,PalmaOver2_share,65.3
social,social cohesion,2018,PalmaOver2_share,65.3
social,social cohesion,2019,PalmaOver2_share,65.4
social,social cohesion,2020,PalmaOver2_share,69.7
social,social cohesion,2021,PalmaOver2_share,NA
social,social cohesion,2000,lifeSatisfaction,NA
social,social cohesion,2001,lifeSatisfaction,NA
social,social cohesion,2002,lifeSatisfaction,NA
social,social cohesion,2003,lifeSatisfaction,NA
social,social cohesion,2004,lifeSatisfaction,NA
social,social cohesion,2005,lifeSatisfaction,44.8
social,social cohesion,2006,lifeSatisfaction,43.7
social,social cohesion,2007,lifeSatisfaction,34.9
social,social cohesion,2008,lifeSatisfaction,42
social,social cohesion,2009,lifeSatisfaction,52.8
social,social cohesion,2010,lifeSatisfaction,58.8
social,social cohesion,2011,lifeSatisfaction,35.6
social,social cohesion,2012,lifeSatisfaction,33.4
social,social cohesion,2013,lifeSatisfaction,39.2
social,social cohesion,2014,lifeSatisfaction,37.8
social,social cohesion,2015,lifeSatisfaction,40.7
social,social cohesion,2016,lifeSatisfaction,35.3
social,social cohesion,2017,lifeSatisfaction,34.5
social,social cohesion,2018,lifeSatisfaction,33.8
social,social cohesion,2019,lifeSatisfaction,37.3
social,social cohesion,2020,lifeSatisfaction,39.6
social,social cohesion,2021,lifeSatisfaction,40.5
social,political voice,2000,voiceAccount,51.3
social,political voice,2001,voiceAccount,51.9
social,political voice,2002,voiceAccount,52.4
social,political voice,2003,voiceAccount,52.3
social,political voice,2004,voiceAccount,51.9
social,political voice,2005,voiceAccount,49.2
social,political voice,2006,voiceAccount,47.8
social,political voice,2007,voiceAccount,48.1
social,political voice,2008,voiceAccount,48.7
social,political voice,2009,voiceAccount,49.3
social,political voice,2010,voiceAccount,48.4
social,political voice,2011,voiceAccount,49.2
social,political voice,2012,voiceAccount,49.9
social,political voice,2013,voiceAccount,50.7
social,political voice,2014,voiceAccount,49.5
social,political voice,2015,voiceAccount,49.2
social,political voice,2016,voiceAccount,49.6
social,political voice,2017,voiceAccount,49.9
social,political voice,2018,voiceAccount,50.4
social,political voice,2019,voiceAccount,50.2
social,political voice,2020,voiceAccount,50.6
social,political voice,2021,voiceAccount,50.9
social,peace and justice,2000,controlCorruption,82.5
social,peace and justice,2001,controlCorruption,82.3
social,peace and justice,2002,controlCorruption,82.1
social,peace and justice,2003,controlCorruption,82
social,peace and justice,2004,controlCorruption,82.7
social,peace and justice,2005,controlCorruption,83.2
social,peace and justice,2006,controlCorruption,83.3
social,peace and justice,2007,controlCorruption,83.5
social,peace and justice,2008,controlCorruption,84.6
social,peace and justice,2009,controlCorruption,84.8
social,peace and justice,2010,controlCorruption,83.8
social,peace and justice,2011,controlCorruption,84.1
social,peace and justice,2012,controlCorruption,85
social,peace and justice,2013,controlCorruption,84.6
social,peace and justice,2014,controlCorruption,84.8
social,peace and justice,2015,controlCorruption,85.3
social,peace and justice,2016,controlCorruption,85.3
social,peace and justice,2017,controlCorruption,85.2
social,peace and justice,2018,controlCorruption,84.8
social,peace and justice,2019,controlCorruption,85.7
social,peace and justice,2020,controlCorruption,85
social,peace and justice,2021,controlCorruption,84.7
social,peace and justice,2000,homicideOver5,28.1
social,peace and justice,2001,homicideOver5,28.2
social,peace and justice,2002,homicideOver5,28.3
social,peace and justice,2003,homicideOver5,28.2
social,peace and justice,2004,homicideOver5,28.1
social,peace and justice,2005,homicideOver5,28.2
social,peace and justice,2006,homicideOver5,28.1
social,peace and justice,2007,homicideOver5,29.4
social,peace and justice,2008,homicideOver5,27.9
social,peace and justice,2009,homicideOver5,21.6
social,peace and justice,2010,homicideOver5,21.3
social,peace and justice,2011,homicideOver5,19.8
social,peace and justice,2012,homicideOver5,20.9
social,peace and justice,2013,homicideOver5,20.9
social,peace and justice,2014,homicideOver5,20.8
social,peace and justice,2015,homicideOver5,17
social,peace and justice,2016,homicideOver5,22.5
social,peace and justice,2017,homicideOver5,22.2
social,peace and justice,2018,homicideOver5,14.7
social,peace and justice,2019,homicideOver5,13.1
social,peace and justice,2020,homicideOver5,18.4
social,peace and justice,2021,homicideOver5,18.8
